type,Lat,Lon,start year,end year,magnitude,extent,description of event
Intra-State War #598,,,1874,1875,,,Catonalist Uprising of 1874-1875
Intra-State War #600,,,1874,1874,,,Fifth Argentina War of 1874
Intra-State War #601,,,1875,1876,,,Bosnia and Bulgaria Revolt of 1875-1876
Extra-State War #371,,,1875,1876,,,Kokand Rebellion of 1875-1876
,,,,,,,
Extra-State War #372,,,1875,1876,,,Egypt-Ethiopian War of 1875-1876
Intra-State War #602,,,1876,1876,,,Diaz Revolt of 1876
Inter-State War #60,,,1876,1876,,,First Central American War of 1876
Intra-State War #603,,,1876,1877,,,Defeat of Xinjiang Muslims of 1876-1877
Extra-State War #373,,,1876,1877,,,Serbian-Turkish War of 1876-1877
Intra-State War #605,,,1876,1877,,,Third Colombian War of 1876-1877
Intra-State War #607,,,1877,1877,,,Satsuma Rebellion of 1877
Inter-State War #61,,,1877,1878,,,Second Russo-Turkish War of 1877-1878
Extra-State War #374,,,1877,1878,,,Third British-Xhosa War of 1877-1878
Extra-State War #375,,,1878,1879,,,Egypt-Sudanese Slavers War of 1878-1879
Extra-State War #376,,,1878,1881,,,Russo-Turkoman War of 1878-1881
Extra-State War #377,,,1878,1878,,,Austrian-Bosnian War of 1878
Extra-State War #379,,,1878,1880,,,Second British-Afghan War of 1878-1880
Extra-State War #380,,,1879,1879,,,Second British-Zulu War of 1879
Inter-State War #64,,,1879,1883,,,War of the Pacific of 1879-1883
Intra-State War #608,,,1879,1880,,,Argentine Indians War of 1879-1880
Intra-State War #610,,,1880,1880,,,Fourth Buenos Aires War of 1880
Extra-State War #381,,,1880,1881,,,Gun War of 1880-1881
Extra-State War #382,,,1880,1881,,,First Boer War of 1880-1881
Extra-State War #383,,,1881,1882,,,Franco-Tunisian War of 1881-1882
Extra-State War #384,,,1881,1885,,,First British-Mahdi War of 1881-1885
Extra-State War #385,,,1882,1884,,,Third Franco-Vietnamese War of 1882-1884
Inter-State War #65,,,1882,1882,,,Conquest of Egypt of 1882
Intra-State War #611,,,1883,1884,,,Haitian Civil War of 1883-1884
Non-State War #1556,,,1883,1884,,,Second Zulu Internecine War of 1883-1884
Extra-State War #386,,,1883,1885,,,First Franco-Madagascan War of 1883-1885
Non-State War #1557,,,1883,1884,,,Oman-Ibadi War of 1883-1884
Inter-State War #67,,,1884,1885,,,Sino-French War of 1884-1885
Non-State War #1558,,,1884,1894,,,Second Australian Aboriginal War of 1884-1894
Intra-State War #612,,,1884,1885,,,Fourth Colombian War of 1884-1885
