"X","year","boat","volume","type","country","port","long","lat","distance"
186,1862,"496",27436,"vessel","neaples",NA,NA,NA,NA
187,1862,"",NA,"steamboat","neaples",NA,NA,NA,NA
188,1862,"94",17698,"vessel","sicily","Palermo",38.11127,13.3534422,753
189,1862,"",NA,"steamboat","sicily","Palermo",38.11127,13.3534422,753
190,1862,"102",6773,"vessel","ionic islands",NA,NA,NA,NA
191,1862,"53",12228,"steamboat","ionic islands",NA,NA,NA,NA
192,1862,"308",31738,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
193,1862,"",NA,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
194,1862,"10",1537,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
195,1862,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
196,1862,"37",6593,"vessel","sardegna","Cagliari",39.2169525,9.1128513,947
197,1862,"",NA,"steamboat","sardegna","Cagliari",39.2169525,9.1128513,947
198,1862,"171",45411,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
199,1862,"",NA,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
200,1862,"18",15143,"vessel","atlantic france","Le Havre",49.4938975,0.1079732,2804
201,1862,"",NA,"steamboat","atlantic france","Le Havre",49.4938975,0.1079732,2804
202,1862,"21",6895,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
203,1862,"12",3191,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
204,1862,"1",295,"vessel","portugal","Lisbon",38.7077926,-9.1365069,1947
205,1862,"48",8127,"vessel","uk – malta","",51.8246673,-0.3402597,730
206,1862,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
207,1862,"4",2589,"vessel","uk – gibraltar","",51.791921,-0.90223,1664
208,1862,"",NA,"steamboat","uk – gibraltar","",51.791921,-0.90223,1664
209,1862,"93",28793,"vessel","uk –","London",51.5073219,-0.1276473,2968
210,1862,"62",62133,"steamboat","uk –","London",51.5073219,-0.1276473,2968
211,1862,"11",2007,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
212,1862,"10",3656,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
213,1862,"12",3304,"vessel","belgium","Ostend",50.1160632,8.72011225465,2933
214,1862,"",NA,"steamboat","belgium","Ostend",50.1160632,8.72011225465,2933
215,1862,"8",1728,"vessel","hamburg","",53.5503414,10.000654,3262
216,1862,"",NA,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
217,1862,"1",195,"vessel","denmark","Copenhagen",55.6867243,12.5700724,3560
218,1862,"2",315,"vessel","sweden and norway",NA,NA,NA,NA
219,1862,"3",346,"vessel","russia baltic sea ","St Petersburg",27.7703796,-82.6695084,4251
220,1862,"9",2838,"vessel","russia black sea ","Novorossiysk",44.7239578,37.7690711,1608
221,1862,"370",43704,"vessel","turkey","Izmir",38.4153421,27.144474,1007
222,1862,"159",61419,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
223,1862,"1",173,"vessel","moldavia","",47.286747,28.5110236,1400
224,1862,"4",1493,"steamboat","moldavia","",47.286747,28.5110236,1400
225,1862,"1",223,"vessel","valacchia",NA,NA,NA,NA
226,1862,"",NA,"steamboat","valacchia",NA,NA,NA,NA
227,1862,"77",23650,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
228,1862,"49",39713,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
229,1862,"6",1035,"vessel","tunis","",33.8439408,9.400138,930
230,1862,"1",210,"vessel","african uk","South Africa",-28.8166235,24.991639,6700
231,1862,"9",4122,"vessel","usa","New York",40.7305991,-73.9865811,4854
232,1862,"1",313,"vessel","venezuela","Puerto la Cruz",28.4159024,-16.5532955,5201
